timestamp,buyer,seller,symbol,currency,price,quantity,day,source_file,notional,day_book,symbol_book,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,source_file_book,outer_bid,outer_ask,wall_mid_outer,spread,top3_bid_volume,top3_ask_volume,book_imbalance,wall_bid,wall_ask,wall_mid,book_index,mid_plus_1,mid_plus_2,mid_plus_5,mid_plus_10,mid_plus_20,mid_plus_50,mid_plus_100,next_top3_bid,next_top3_ask,bid_at_trade,ask_at_trade,aggressor,mark,role,side,edge_at_fill,mark_aggressor,session_bin,quantity_bin,mid_move_100,fwd_100,fwd_pnl_100,mid_move_200,fwd_200,fwd_pnl_200,mid_move_500,fwd_500,fwd_pnl_500,mid_move_1000,fwd_1000,fwd_pnl_1000,mid_move_2000,fwd_2000,fwd_pnl_2000,mid_move_5000,fwd_5000,fwd_pnl_5000,mid_move_10000,fwd_10000,fwd_pnl_10000
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,trades_round_4_day_1.csv,39840.0,1,HYDROGEL_PACK,9952,11,9950.0,26.0,,,9960,4,9968.0,11.0,9971.0,26.0,9956.0,0.0,prices_round_4_day_1.csv,9950.0,9971.0,9960.5,8,37.0,41.0,-0.05128205128205128,9950.0,9971.0,9960.5,51,9956.0,9958.0,9952.0,9949.0,9949.0,9944.0,9957.0,36.0,36.0,9952,9960,buy,Mark 38,buyer,1.0,-4.0,True,early,3-5,0.0,-4.0,-16.0,2.0,-2.0,-8.0,-4.0,-8.0,-32.0,-7.0,-11.0,-44.0,-7.0,-11.0,-44.0,-12.0,-16.0,-64.0,1.0,-3.0,-12.0
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,trades_round_4_day_1.csv,49775.0,1,HYDROGEL_PACK,9939,12,9937.0,29.0,,,9955,12,9958.0,29.0,,,9947.0,0.0,prices_round_4_day_1.csv,9937.0,9958.0,9947.5,16,41.0,41.0,0.0,9937.0,9958.0,9947.5,62,9946.0,9947.0,9945.0,9946.0,9945.0,9941.0,9956.0,36.0,36.0,9939,9955,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,-1.0,-9.0,-45.0,0.0,-8.0,-40.0,-2.0,-10.0,-50.0,-1.0,-9.0,-45.0,-2.0,-10.0,-50.0,-6.0,-14.0,-70.0,9.0,1.0,5.0
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,trades_round_4_day_1.csv,39864.0,1,HYDROGEL_PACK,9951,13,9948.0,25.0,,,9966,13,9969.0,25.0,,,9958.5,0.0,prices_round_4_day_1.csv,9948.0,9969.0,9958.5,15,38.0,38.0,0.0,9948.0,9969.0,9958.5,150,9957.0,9956.0,9957.0,9958.0,9947.0,9951.0,9952.0,32.0,32.0,9951,9966,buy,Mark 38,buyer,1.0,-7.5,True,early,3-5,-1.5,-9.0,-36.0,-2.5,-10.0,-40.0,-1.5,-9.0,-36.0,-0.5,-8.0,-32.0,-11.5,-19.0,-76.0,-7.5,-15.0,-60.0,-6.5,-14.0,-56.0
22800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,6,1,trades_round_4_day_1.csv,59676.0,1,HYDROGEL_PACK,9946,12,9944.0,26.0,,,9962,12,9964.0,26.0,,,9954.0,0.0,prices_round_4_day_1.csv,9944.0,9964.0,9954.0,16,38.0,38.0,0.0,9944.0,9964.0,9954.0,228,9954.0,9953.0,9951.0,9953.0,9953.0,9940.0,9956.0,33.0,33.0,9946,9962,sell,Mark 14,buyer,1.0,8.0,False,early,6-10,0.0,8.0,48.0,-1.0,7.0,42.0,-3.0,5.0,30.0,-1.0,7.0,42.0,-1.0,7.0,42.0,-14.0,-6.0,-36.0,2.0,10.0,60.0
30800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,2,1,trades_round_4_day_1.csv,19880.0,1,HYDROGEL_PACK,9940,10,9937.0,29.0,,,9956,10,9958.0,29.0,,,9948.0,0.0,prices_round_4_day_1.csv,9937.0,9958.0,9947.5,16,39.0,39.0,0.0,9937.0,9958.0,9947.5,308,9946.0,9946.0,9947.0,9948.0,9956.0,9949.5,9945.0,32.0,32.0,9940,9956,sell,Mark 14,buyer,1.0,8.0,False,early,1-2,-2.0,6.0,12.0,-2.0,6.0,12.0,-1.0,7.0,14.0,0.0,8.0,16.0,8.0,16.0,32.0,1.5,9.5,19.0,-3.0,5.0,10.0
31400,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9953.0,3,1,trades_round_4_day_1.csv,29859.0,1,HYDROGEL_PACK,9937,11,9935.0,22.0,,,9953,11,9956.0,22.0,,,9945.0,0.0,prices_round_4_day_1.csv,9935.0,9956.0,9945.5,16,33.0,33.0,0.0,9935.0,9956.0,9945.5,314,9945.0,9945.0,9945.5,9950.0,9955.0,9949.0,9944.0,32.0,32.0,9937,9953,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,0.0,-8.0,-24.0,0.0,-8.0,-24.0,0.5,-7.5,-22.5,5.0,-3.0,-9.0,10.0,2.0,6.0,4.0,-4.0,-12.0,-1.0,-9.0,-27.0
32000,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9938.0,5,1,trades_round_4_day_1.csv,49690.0,1,HYDROGEL_PACK,9938,15,9936.0,20.0,,,9954,15,9957.0,20.0,,,9946.0,0.0,prices_round_4_day_1.csv,9936.0,9957.0,9946.5,16,35.0,35.0,0.0,9936.0,9957.0,9946.5,320,9947.0,9947.0,9952.0,9955.0,9951.0,9947.0,9951.0,37.0,37.0,9938,9954,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,1.0,9.0,45.0,1.0,9.0,45.0,6.0,14.0,70.0,9.0,17.0,85.0,5.0,13.0,65.0,1.0,9.0,45.0,5.0,13.0,65.0
33600,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9948.0,6,1,trades_round_4_day_1.csv,59688.0,1,HYDROGEL_PACK,9948,13,9946.0,27.0,,,9964,13,9967.0,27.0,,,9956.0,0.0,prices_round_4_day_1.csv,9946.0,9967.0,9956.5,16,40.0,40.0,0.0,9946.0,9967.0,9956.5,336,9955.0,9953.0,9950.0,9950.0,9954.0,9943.0,9962.5,38.0,38.0,9948,9964,sell,Mark 14,buyer,1.0,8.0,False,early,6-10,-1.0,7.0,42.0,-3.0,5.0,30.0,-6.0,2.0,12.0,-6.0,2.0,12.0,-2.0,6.0,36.0,-13.0,-5.0,-30.0,6.5,14.5,87.0
37400,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9936.0,4,1,trades_round_4_day_1.csv,39744.0,1,HYDROGEL_PACK,9936,13,9934.0,22.0,,,9952,13,9955.0,22.0,,,9944.0,0.0,prices_round_4_day_1.csv,9934.0,9955.0,9944.5,16,35.0,35.0,0.0,9934.0,9955.0,9944.5,374,9946.0,9948.0,9951.0,9945.0,9943.0,9961.0,9969.0,40.0,40.0,9936,9952,sell,Mark 14,buyer,1.0,8.0,False,early,3-5,2.0,10.0,40.0,4.0,12.0,48.0,7.0,15.0,60.0,1.0,9.0,36.0,-1.0,7.0,28.0,17.0,25.0,100.0,25.0,33.0,132.0
40900,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9951.0,5,1,trades_round_4_day_1.csv,49755.0,1,HYDROGEL_PACK,9935,12,9932.0,25.0,,,9951,12,9953.0,25.0,,,9943.0,0.0,prices_round_4_day_1.csv,9932.0,9953.0,9942.5,16,37.0,37.0,0.0,9932.0,9953.0,9942.5,409,9944.0,9944.0,9944.0,9948.0,9953.0,9969.0,9979.0,30.0,30.0,9935,9951,buy,Mark 38,buyer,1.0,-8.0,True,early,3-5,1.0,-7.0,-35.0,1.0,-7.0,-35.0,1.0,-7.0,-35.0,5.0,-3.0,-15.0,10.0,2.0,10.0,26.0,18.0,90.0,36.0,28.0,140.0
